    10 Say
    15 RequestEquipItem
    25 RequestCreatePledge
    33 RequestTeleport
    34 SocialAction
    35 ChangeMoveType
    36 ChangeWaitType
    38 UserAck
    3E RequestShortCutUse
    41 RequestDismissPledge
    46 RequestDismissParty
    4F RequestMagicList
    5A RequestSEKCustom
    6A RequestFriendInfoList -
    6D RequestSendMsnChatLog
    84 RequestReviveReply
    9B ReplyStopAllianceWar
    A0 SendTimeCheck
    AA RequestCastleSiegeInfo
    B2 RequestRemainTime
    BD RequestRecipeShopManageCancel
    C2 VoteSociality
    CF RequestProcureCrop
    D0:1A RequestExOrcMove
    D0:1D RequestExSetTutorial
    D0:1F RequestCannotMoveAnymoreAirShip
    D0:37 RequestExGetOffAirShip
    D0:49 RequestPVPMatchRecord
    D0:51:05 RequestChangeBookMarkSlot
    D0:53 RequestJump
    D0:54 RequestStartShowCrataeCubeRank
    D0:55 RequestStopShowCrataeCubeRank
    D0:70 RequestShowNewUserPetition
    D0:71 RequestExShowStepTwo
    D0:72 RequestExShowStepThree
    D0:73 RequestExConnectToRaidServer
    D0:74 RequestExReturnFromRaidServer
    D0:77 RequestEventMatchObserverEnd
    D0:7C RequestAskMemberShip
    D0:7D RequestAddExpandQuestAlarm
    D0:83:01 RequestExAgitInitialize
    D0:83:02 RequestExAgitDetailInfo
    D0:83:03 RequestExMyAgitState
    D0:83:04 RequestExRegisterAgitForBidStep1
    D0:83:05 RequestExRegisterAgitForBidStep3
    D0:83:07 RequestExConfirmCancelRegisteringAgit
    D0:83:08 RequestExProceedCancelRegisteringAgit
    D0:83:09 RequestExConfirmCancelAgitLot
    D0:83:0A RequestExProceedCancelAgitLot
    D0:83:0D RequestExApplyForBidStep1
    D0:83:0E RequestExApplyForBidStep2
    D0:83:0F RequestExApplyForBidStep3
    D0:83:10 RequestExReBid
    D0:83:11 RequestExAgitListForLot
    D0:83:12 RequestExApplyForAgitLotStep1
    D0:83:13 RequestExApplyForAgitLotStep2
    D0:83:14 RequestExAgitListForBid
    D0:91 RequestGoodsInventoryInfo
    D0:92 RequestUseGoodsInventoryItem
    D0:96 RequestHardWareInfo
